City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Jiwani,PK,2022-01-24 00:17:29,25.05,61.7417,61.83,33,0,4.05
275,Bredasdorp,ZA,2022-01-24 00:17:29,-34.5322,20.0403,67.28,88,38,8.39
276,Porto Nacional,BR,2022-01-24 00:17:30,-10.7081,-48.4172,75.2,93,58,1.59
277,Villa Maria,AR,2022-01-24 00:17:30,-32.4075,-63.2402,74.82,86,87,5.03
278,Calabar,NG,2022-01-24 00:17:31,4.9517,8.322,77.7,82,3,0.96
279,Loiza,PR,2022-01-24 00:17:31,18.4313,-65.8802,76.98,70,20,4.61
280,Amahai,ID,2022-01-24 00:17:32,-3.3333,128.9167,83.14,69,90,1.63
281,Yerbogachen,RU,2022-01-24 00:17:32,61.2767,108.0108,-15.21,100,95,4.47
282,Gorin,RU,2022-01-24 00:17:33,51.1983,136.6669,-15.41,97,69,3.89
283,Vila Velha,BR,2022-01-24 00:17:33,-20.3297,-40.2925,78.75,84,75,5.75
284,Dwarka,IN,2022-01-24 00:17:34,22.2394,68.9678,62.58,46,11,5.91
285,Margate,GB,2022-01-24 00:17:34,51.3813,1.3862,41.92,79,98,3.0
286,Port-Gentil,GA,2022-01-24 00:17:35,-0.7193,8.7815,79.59,79,20,8.84
287,Hasaki,JP,2022-01-24 00:17:35,35.7333,140.8333,46.29,60,100,25.52
288,Vera Cruz,BR,2022-01-24 00:17:36,-12.6333,-41.0333,67.37,96,57,1.57
289,Luderitz,NA,2022-01-24 00:17:36,-26.6481,15.1594,75.45,66,51,8.21
290,Srivardhan,IN,2022-01-24 00:17:37,18.0333,73.0167,62.89,75,30,8.05
291,Kalmunai,LK,2022-01-24 00:17:37,7.4167,81.8167,70.56,82,73,5.44
292,Umm Kaddadah,SD,2022-01-24 00:14:29,13.6017,26.6876,60.78,17,13,15.03
